Task,Seed,status
D1M,0,DONE
D1M,1,DONE
D1M,2,DONE
D1M,3,DONE
D1M,4,DONE
D1M,5,DONE
D1M,6,DONE
D1M,7,DONE
D1M,8,DONE
D1M,9,DONE
D1M,10,DONE
D1M,11,DONE
D1M,12,DONE
D1M,13,DONE
D1M,14,DONE
D1M,15,DONE
D1M,16,DONE
D1M,17,DONE
D1M,18,DONE
D1M,19,DONE
D1M,20,DONE
D1M,21,DONE
D1M,22,DONE
D1M,23,DONE
D1M,24,DONE
D1M,25,DONE
D1M,26,DONE
D1M,27,DONE
D1M,28,DONE
D1M,29,DONE
D1M,30,DONE
D1M,31,DONE
D1M,32,DONE
D1M,33,DONE
D1M,34,DONE
D1M,35,DONE
D1M,36,DONE
D1M,37,DONE
D1M,38,DONE
D1M,39,DONE
D1M,40,DONE
D1M,41,DONE
D1M,42,DONE
D1M,43,DONE
D1M,44,DONE
D1M,45,DONE
D1M,46,DONE
D1M,47,DONE
D1M,48,DONE
D1M,49,DONE
D1M,50,DONE
D1M,51,DONE
D1M,52,DONE
D1M,53,DONE
D1M,54,DONE
D1M,55,DONE
D1M,56,DONE
D1M,57,DONE
D1M,58,DONE
D1M,59,DONE
D1M,60,DONE
D1M,61,DONE
D1M,62,DONE
D1M,63,DONE
D1M,64,DONE
D1M,65,DONE
D1M,66,DONE
D1M,67,DONE
D1M,68,DONE
D1M,69,DONE
D1M,70,DONE
D1M,71,DONE
D1M,72,DONE
D1M,73,DONE
D1M,74,DONE
D1M,75,DONE
D1M,76,DONE
D1M,77,DONE
D1M,78,DONE
D1M,79,DONE
D1M,80,DONE
D1M,81,DONE
D1M,82,DONE
D1M,83,DONE
D1M,84,DONE
D1M,85,DONE
D1M,86,DONE
D1M,87,DONE
D1M,88,DONE
D1M,89,DONE
D1M,90,DONE
D1M,91,DONE
D1M,92,DONE
D1M,93,DONE
D1M,94,DONE
D1M,95,DONE
D1M,96,DONE
D1M,97,DONE
D1M,98,DONE
D1M,99,DONE
D1M,100,DONE
D2M,0,DONE
D2M,1,DONE
D2M,2,DONE
D2M,3,DONE
D2M,4,DONE
D2M,5,DONE
D2M,6,DONE
D2M,7,DONE
D2M,8,DONE
D2M,9,DONE
D2M,10,DONE
D2M,11,DONE
D2M,12,DONE
D2M,13,DONE
D2M,14,DONE
D2M,15,DONE
D2M,16,DONE
D2M,17,DONE
D2M,18,DONE
D2M,19,DONE
D2M,20,DONE
D2M,21,DONE
D2M,22,DONE
D2M,23,DONE
D2M,24,DONE
D2M,25,DONE
D2M,26,DONE
D2M,27,DONE
D2M,28,DONE
D2M,29,DONE
D2M,30,DONE
D2M,31,DONE
D2M,32,DONE
D2M,33,DONE
D2M,34,DONE
D2M,35,DONE
D2M,36,DONE
D2M,37,DONE
D2M,38,DONE
D2M,39,DONE
D2M,40,DONE
D2M,41,DONE
D2M,42,DONE
D2M,43,DONE
D2M,44,DONE
D2M,45,DONE
D2M,46,DONE
D2M,47,DONE
D2M,48,DONE
D2M,49,DONE
D2M,50,DONE
D2M,51,DONE
D2M,52,DONE
D2M,53,DONE
D2M,54,DONE
D2M,55,DONE
D2M,56,DONE
D2M,57,DONE
D2M,58,DONE
D2M,59,DONE
D2M,60,DONE
D2M,61,DONE
D2M,62,DONE
D2M,63,DONE
D2M,64,DONE
D2M,65,DONE
D2M,66,DONE
D2M,67,DONE
D2M,68,DONE
D2M,69,DONE
D2M,70,DONE
D2M,71,DONE
D2M,72,DONE
D2M,73,DONE
D2M,74,DONE
D2M,75,DONE
D2M,76,DONE
D2M,77,DONE
D2M,78,DONE
D2M,79,DONE
D2M,80,DONE
D2M,81,DONE
D2M,82,DONE
D2M,83,DONE
D2M,84,DONE
D2M,85,DONE
D2M,86,DONE
D2M,87,DONE
D2M,88,DONE
D2M,89,DONE
D2M,90,DONE
D2M,91,DONE
D2M,92,DONE
D2M,93,DONE
D2M,94,DONE
D2M,95,DONE
D2M,96,DONE
D2M,97,DONE
D2M,98,DONE
D2M,99,DONE
D2M,100,DONE
D3M,0,DONE
D3M,1,DONE
D3M,2,DONE
D3M,3,DONE
D3M,4,DONE
D3M,5,DONE
D3M,6,DONE
D3M,7,DONE
D3M,8,DONE
D3M,9,DONE
D3M,10,DONE
D3M,11,DONE
D3M,12,DONE
D3M,13,DONE
D3M,14,DONE
D3M,15,DONE
D3M,16,DONE
D3M,17,DONE
D3M,18,DONE
D3M,19,DONE
D3M,20,DONE
D3M,21,DONE
D3M,22,DONE
D3M,23,DONE
D3M,24,DONE
D3M,25,DONE
D3M,26,DONE
D3M,27,DONE
D3M,28,DONE
D3M,29,DONE
D3M,30,DONE
D3M,31,DONE
D3M,32,DONE
D3M,33,DONE
D3M,34,DONE
D3M,35,DONE
D3M,36,DONE
D3M,37,DONE
D3M,38,DONE
D3M,39,DONE
D3M,40,DONE
D3M,41,DONE
D3M,42,DONE
D3M,43,DONE
D3M,44,DONE
D3M,45,DONE
D3M,46,DONE
D3M,47,DONE
D3M,48,DONE
D3M,49,DONE
D3M,50,DONE
D3M,51,DONE
D3M,52,DONE
D3M,53,DONE
D3M,54,DONE
D3M,55,DONE
D3M,56,DONE
D3M,57,DONE
D3M,58,DONE
D3M,59,DONE
D3M,60,DONE
D3M,61,DONE
D3M,62,DONE
D3M,63,DONE
D3M,64,DONE
D3M,65,DONE
D3M,66,DONE
D3M,67,DONE
D3M,68,DONE
D3M,69,DONE
D3M,70,DONE
D3M,71,DONE
D3M,72,DONE
D3M,73,DONE
D3M,74,DONE
D3M,75,DONE
D3M,76,DONE
